content_id,title,type,genre,platform,country,language,release_year,duration_minutes,rating,votes,weighted_rating,engagement_score,popularity_score,trending_score,tags,combined_features,description,poster_url
C100146,Silent Code 146,Series,Drama,Netflix,UK,English,2024,819,9.5,198380,9.44,2707.89,1872.71,2198.94,"Drama,Netflix,Series,English","Drama Netflix Series Silent Code 146 is a drama series on Netflix, featuring intense storytelling and engaging characters.","Silent Code 146 is a drama series on Netflix, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C100452,Crimson Truth 452,Movie,Action,Netflix,Germany,German,2020,104,8.8,199426,8.76,345.67,1746.97,2014.24,"Action,Netflix,Movie,German","Action Netflix Movie Crimson Truth 452 is a action movie on Netflix, featuring intense storytelling and engaging characters.","Crimson Truth 452 is a action movie on Netflix, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C101169,Cyber Night 1169,Series,Thriller,Prime Video,Germany,German,2022,1616,8.2,198549,8.17,5347.59,1622.15,1936.39,"Thriller,Prime Video,Series,German","Thriller Prime Video Series Cyber Night 1169 is a thriller series on Prime Video, featuring intense storytelling and engaging characters.","Cyber Night 1169 is a thriller series on Prime Video, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C100271,Silent Code 271,Movie,Sci-Fi,Netflix,India,Spanish,2022,117,8.7,194802,8.66,379.86,1686.99,1920.09,"Sci-Fi,Netflix,Movie,Spanish","Sci-Fi Netflix Movie Silent Code 271 is a sci-fi movie on Netflix, featuring intense storytelling and engaging characters.","Silent Code 271 is a sci-fi movie on Netflix, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C100591,Silent Code 591,Movie,Drama,Hotstar,Germany,Hindi,2016,99,8.5,196936,8.46,324.94,1666.08,1899.82,"Drama,Hotstar,Movie,Hindi","Drama Hotstar Movie Silent Code 591 is a drama movie on Hotstar, featuring intense storytelling and engaging characters.","Silent Code 591 is a drama movie on Hotstar, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C100135,Dark Horizon 135,Movie,Sci-Fi,Prime Video,India,English,2020,138,8.5,190170,8.46,437.39,1608.84,1891.13,"Sci-Fi,Prime Video,Movie,English","Sci-Fi Prime Video Movie Dark Horizon 135 is a sci-fi movie on Prime Video, featuring intense storytelling and engaging characters.","Dark Horizon 135 is a sci-fi movie on Prime Video, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C102394,Silent Code 2394,Series,Fantasy,Hotstar,UK,Hindi,2021,774,9.5,173705,9.43,2240.79,1638.04,1890.39,"Fantasy,Hotstar,Series,Hindi","Fantasy Hotstar Series Silent Code 2394 is a fantasy series on Hotstar, featuring intense storytelling and engaging characters.","Silent Code 2394 is a fantasy series on Hotstar, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C101149,Fading Light 1149,Series,Comedy,Hotstar,UK,Spanish,2016,1212,8.5,190318,8.46,3844.42,1610.09,1876.71,"Comedy,Hotstar,Series,Spanish","Comedy Hotstar Series Fading Light 1149 is a comedy series on Hotstar, featuring intense storytelling and engaging characters.","Fading Light 1149 is a comedy series on Hotstar, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C100994,Echoes of Time 994,Series,Fantasy,Prime Video,Spain,German,2019,1158,8.4,197019,8.37,3802.47,1649.05,1876.3,"Fantasy,Prime Video,Series,German","Fantasy Prime Video Series Echoes of Time 994 is a fantasy series on Prime Video, featuring intense storytelling and engaging characters.","Echoes of Time 994 is a fantasy series on Prime Video, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C100910,Dark Horizon 910,Movie,Sci-Fi,Prime Video,Germany,German,2017,124,9.4,178121,9.33,368.12,1661.87,1856.37,"Sci-Fi,Prime Video,Movie,German","Sci-Fi Prime Video Movie Dark Horizon 910 is a sci-fi movie on Prime Video, featuring intense storytelling and engaging characters.","Dark Horizon 910 is a sci-fi movie on Prime Video, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C101101,Echoes of Time 1101,Movie,Comedy,Prime Video,USA,English,2019,127,8.3,192507,8.27,407.47,1592.03,1853.86,"Comedy,Prime Video,Movie,English","Comedy Prime Video Movie Echoes of Time 1101 is a comedy movie on Prime Video, featuring intense storytelling and engaging characters.","Echoes of Time 1101 is a comedy movie on Prime Video, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C100274,Lost Signal 274,Movie,Comedy,Netflix,India,German,2015,159,9.2,192054,9.14,508.94,1755.37,1851.71,"Comedy,Netflix,Movie,German","Comedy Netflix Movie Lost Signal 274 is a comedy movie on Netflix, featuring intense storytelling and engaging characters.","Lost Signal 274 is a comedy movie on Netflix, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C101953,Echoes of Time 1953,Movie,Drama,Netflix,USA,Korean,2017,172,8.7,193791,8.66,555.53,1678.23,1849.62,"Drama,Netflix,Movie,Korean","Drama Netflix Movie Echoes of Time 1953 is a drama movie on Netflix, featuring intense storytelling and engaging characters.","Echoes of Time 1953 is a drama movie on Netflix, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C101914,Crimson Truth 1914,Series,Comedy,Prime Video,South Korea,English,2021,1626,8.4,194213,8.36,5263.17,1623.62,1847.91,"Comedy,Prime Video,Series,English","Comedy Prime Video Series Crimson Truth 1914 is a comedy series on Prime Video, featuring intense storytelling and engaging characters.","Crimson Truth 1914 is a comedy series on Prime Video, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C100220,Hidden Pulse 220,Series,Action,Hotstar,Spain,English,2021,1609,9.2,174751,9.14,4686.24,1597.22,1843.47,"Action,Hotstar,Series,English","Action Hotstar Series Hidden Pulse 220 is a action series on Hotstar, featuring intense storytelling and engaging characters.","Hidden Pulse 220 is a action series on Hotstar, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
C101060,Hidden Pulse 1060,Series,Sci-Fi,Netflix,USA,Korean,2023,1063,9.5,177301,9.43,3141.18,1671.95,1840.53,"Sci-Fi,Netflix,Series,Korean","Sci-Fi Netflix Series Hidden Pulse 1060 is a sci-fi series on Netflix, featuring intense storytelling and engaging characters.","Hidden Pulse 1060 is a sci-fi series on Netflix, featuring intense storytelling and engaging characters.",https://via.placeholder.com/150
